line_id,tenant,customer_id,channel,order_date,raw_text,qty,uom_text,unit_price,buyer_sku,raw_barcode,notes,gt_item_code
ACM-T-0018,acme,CUST-004,email_pdf,2026-05-13,Kanto Cable Tie 100mm Natural,10,unit,,,,,ACM-CABL0555
ACM-T-0019,acme,CUST-007,whatsapp,2026-04-22,pls send Bosco Wire #20 Soft,24,unit,,,,,ACM-GIWI0179
ACM-T-0020,acme,CUST-002,whatsapp,2026-07-28,"Bosco Self Drilling Screw #12 x 2"" Stainless 410 x6",1,carton,30228.0,,,price quoted per outer,ACM-SELF0204
ACM-T-0021,acme,CUST-005,whatsapp,2026-04-22,Kanto - Cable - Tie - 200mm - Natural - x24,50,box,780.48,,,price quoted per outer,ACM-CABL0950
ACM-T-0022,acme,CUST-004,whatsapp,2026-04-13,Kanto Nitrile Glove M Blue,100,box,94.66,,,,
ACM-T-0023,acme,CUST-003,whatsapp,2026-07-25,Cable Tie 450mm Black,3,,,,910597372782,,ACM-CABL0816
ACM-T-0024,acme,CUST-008,portal_csv,2026-06-13,Remax/Glove/S/Blue,20,,,008981867,,,ACM-NITR0903
ACM-T-0025,acme,CUST-004,portal_csv,2026-08-24,Tolsen M8x75 Stainless,5,,,,,,
ACM-T-0026,acme,CUST-002,voice_note,2026-04-20,Epson 003 ink black bottle,2,,,,,,
ACM-T-0027,acme,CUST-004,email_pdf,2026-08-04,subtotal,1,,,,,,
ACM-T-0028,acme,CUST-003,email_pdf,2026-04-20,"Stallion Ball Valve 1-1/4"" PVC",5,,,,,,
ACM-T-0029,acme,CUST-008,email_pdf,2026-08-27,"urgent Stallion Anggle Grinder Disc 7"" Cuting",50,,,,,,ACM-ANGL0006
ACM-T-0030,acme,CUST-002,voice_note,2026-05-08,Hitex PVCP ipe1 5mm Class E,3,,,,,,ACM-PVCP0941
ACM-T-0031,acme,CUST-005,voice_note,2026-04-08,need Bosco Nitrile Glove S Blue,3,,,,,,ACM-NITR0655
ACM-T-0032,acme,CUST-002,email_pdf,2026-06-11,Hitex/Ball/Valve/3/4''/SS304,6,,,,,,ACM-BALL0575
ACM-T-0033,acme,CUST-003,portal_csv,2026-05-10,Hose Clip 38-50mm SS304,50,unit,169.88,,,,
ACM-T-0034,acme,CUST-007,voice_note,2026-04-02,pls send Bosco Wall Plug 8mm Brown x6 carton,50,carton,6613.5,,,price quoted per outer,ACM-WALL0736
ACM-T-0035,acme,CUST-004,whatsapp,2026-05-26,Stallion Hose Clip Zinc,12,unit,,004954508,,,ACM-HOSE1069
ACM-T-0036,acme,CUST-002,portal_csv,2026-06-26,Hitex Masking Tape 18mm General,2,,209.05,,,,ACM-MASK0959
ACM-T-0037,acme,CUST-006,email_pdf,2026-05-23,Vermont - Valve,20,unit,,006508136,,,ACM-BALL0954
ACM-T-0038,acme,CUST-004,voice_note,2026-04-16,item: Hitex Bolt M6x30 HDG,50,unit,351.05,004048384,,,ACM-HEXB0445
ACM-T-0039,acme,CUST-004,portal_csv,2026-06-06,Cable White,10,pcs,,,,,
ACM-T-0040,acme,CUST-002,portal_csv,2026-08-11,Copper pipe 22mm x 3m Class 2,10,,,,,,
ACM-T-0041,acme,CUST-003,voice_note,2026-04-22,same as last month order,1,,,,,,
ACM-T-0042,acme,CUST-004,email_pdf,2026-05-27,Remax Hex Bolt M8x50 HDG,1,pcs,,,,,ACM-HEXB0844
ACM-T-0043,acme,CUST-004,portal_csv,2026-04-12,Reemax PVC Pipe 25mm Cass E,2,unit,132.41,,,,ACM-PVCP1075
ACM-T-0044,acme,CUST-003,portal_csv,2026-04-04,urgent HITEX CABLE TIE 300MM WHITE,2,,414.92,,,,ACM-CABL0654
ACM-T-0045,acme,CUST-007,portal_csv,2026-06-05,1) Remax Hex Bolt M8x75 Stainless 304,20,unit,,,,,ACM-HEXB0714
ACM-T-0046,acme,CUST-003,email_pdf,2026-08-05,need  Kanto  GI  Wire  #20  Hard  Drawn,100,,,,,,ACM-GIWI0419
ACM-T-0047,acme,CUST-002,portal_csv,2026-08-08,1) Remax Safety Helmet Yellow Standard,10,pcs,341.31,,,,ACM-SAFE0984
ACM-T-0048,acme,CUST-008,voice_note,2026-06-17,Stallion GI Wire #20 Soft x48,5,ctn,220.32,,,price quoted per outer,ACM-GIWI0948
ACM-T-0049,acme,CUST-006,whatsapp,2026-07-10,Hitex Hex Bolt M6x30 HDG,100,pcs,,,,,ACM-HEXB0445
ACM-T-0050,acme,CUST-006,email_pdf,2026-07-25,"Kanto Angle Grinder Disc 7"" Cutting",50,unit,350.1,,,,
ACM-T-0051,acme,CUST-007,whatsapp,2026-04-25,pls send Kanto Helmet Ratchet,2,pcs,,007895118,,,ACM-SAFE0579
ACM-T-0052,acme,CUST-003,portal_csv,2026-04-23,Hex Bolt M8x50,20,pcs,,,,,
ACM-T-0053,acme,CUST-007,email_pdf,2026-07-07,Wagyu striploin MB7 grain fed,100,pcs,,,,,
ACM-T-0054,acme,CUST-005,whatsapp,2026-07-21,Nescafe Gold refill 170g,12,box,,,,,
ACM-T-0055,acme,CUST-005,whatsapp,2026-08-01,"Remax Angle Grinder Disc 4.5"" Cutting",24,packet,,,,,
ACM-T-0056,acme,CUST-006,portal_csv,2026-07-13,urgent Kanto GI WWire #16 Sft,12,,398.96,,,,ACM-GIWI0113
ACM-T-0057,acme,CUST-002,portal_csv,2026-07-23,1) Hietx Cable Tie 300m Natural,12,,,,,,ACM-CABL1080
ACM-T-0058,acme,CUST-004,whatsapp,2026-04-26,"Tolsen Ball Valve 1/2"" Pvc",1,ea,,,,,ACM-BALL0685
ACM-T-0059,acme,CUST-003,whatsapp,2026-05-21,"Bosco Ball Valve 2"" PVC",100,,159.41,,,,ACM-BALL0011
ACM-T-0060,acme,CUST-002,whatsapp,2026-04-23,need Vermont 10mm Red,20,packet,151.79,,,,ACM-WALL0817
ACM-T-0061,acme,CUST-002,whatsapp,2026-04-10,Vermont PVC Pipe 50mm Class D x12 case,6,box,319.11,,,price quoted per outer,ACM-PVCP1055
ACM-T-0062,acme,CUST-008,portal_csv,2026-08-22,"Vermont/Ball/Valve/2""/Brass",2,unit,,,,,
ACM-T-0063,acme,CUST-006,whatsapp,2026-04-03,urgent Hitex Nitrile Glove XL Black,2,,,006855772,,,ACM-NITR0092
ACM-T-0064,acme,CUST-002,whatsapp,2026-08-16,Hitex PVC Pipe 25mm Class C,100,,,,,,
ACM-T-0065,acme,CUST-006,voice_note,2026-05-15,Hitex Hex HDG,100,unit,66.1,006111861,,,ACM-HEXB1044
ACM-T-0066,acme,CUST-004,voice_note,2026-06-12,Tolsen Bolt M8x50,24,ctn,,,,,
ACM-T-0067,acme,CUST-001,whatsapp,2026-05-11,Wagyu striploin MB7 grain fed,24,,,,,,
ACM-T-0068,acme,CUST-004,email_pdf,2026-08-21,thanks bro,,,,,,,
ACM-T-0069,acme,CUST-002,whatsapp,2026-04-11,Kanto Hex Bolt M10x50 HDG,100,,,,,,ACM-HEXB0380
ACM-T-0070,acme,CUST-004,email_pdf,2026-07-20,HitexNitrile love S Blue,24,,,,,,ACM-NITR0366
ACM-T-0071,acme,CUST-007,whatsapp,2026-04-17,"tolsen GRINDING DISC 4.5"" flap",50,ea,101.4,,,,ACM-ANGL0444
ACM-T-0072,acme,CUST-004,email_pdf,2026-05-13,remax hex bolt m10x75 SS304,50,unit,154.48,,,,ACM-HEXB0509
ACM-T-0073,acme,CUST-002,portal_csv,2026-07-21,Kanto/Masking/pita/48mm/High/Temp,2,,,,,,ACM-MASK0378
ACM-T-0074,acme,CUST-005,voice_note,2026-07-21,- Kanto Ball Valve PVC,10,unit,,,,,
ACM-T-0075,acme,CUST-007,portal_csv,2026-07-10,urgent Bosco PVC Pipe 20mm Class E x48,20,box,356.39,,,price quoted per outer,ACM-PVCP0151
ACM-T-0076,acme,CUST-007,email_pdf,2026-04-14,Remax Safety Helmet Standard,1,unit,309.32,007818288,,,ACM-SAFE0299
ACM-T-0077,acme,CUST-005,whatsapp,2026-05-26,"need Remax Self #10 1-1/2"" Zinc Plated",24,ea,,,984700442168,,ACM-SELF0964
ACM-T-0078,acme,CUST-001,voice_note,2026-07-20,"Screw 1-1/2"" Stainless 410",50,,309.18,001534384,,,ACM-SELF0105
ACM-T-0079,acme,CUST-001,portal_csv,2026-04-24,"Vermont Ball Valve 1/2"" SS304",1,ctn,,,,,
ACM-T-0080,acme,CUST-002,email_pdf,2026-06-02,40mm Class,3,pcs,,,,,
ACM-T-0081,acme,CUST-001,portal_csv,2026-04-19,Duracell AA battery 8 pack,2,box,,,,,
ACM-T-0082,acme,CUST-002,email_pdf,2026-07-15,Hitex PVC Pipe 32mm Class E,6,unit,,,,,
ACM-T-0083,acme,CUST-005,whatsapp,2026-07-13,Hitexx Wall Plugg 8mm Red,5,,,,,,ACM-WALL0724
ACM-T-0084,acme,CUST-008,email_pdf,2026-04-28,urgent Kato Hose Clip 19-25m mSS304,2,pcs,,,,,ACM-HOSE0857
ACM-T-0085,acme,CUST-004,whatsapp,2026-06-26,"- hitex ball valve 1"" brass",12,,305.18,,,,ACM-BALL0507
ACM-T-0086,acme,CUST-004,voice_note,2026-05-06,pls send Vermont Safety topi keledar putih Ratchet,50,ea,299.38,,,,ACM-SAFE0920
ACM-T-0087,acme,CUST-008,email_pdf,2026-06-14,Stallion - Masking - Tape - 48mm - General,100,unit,,,,,ACM-MASK0596
ACM-T-0088,acme,CUST-006,voice_note,2026-07-13,need Vermont Hex Bolt M6x50 Stainless 304 x24 pkt,5,box,1155.72,,,price quoted per outer,ACM-HEXB0832
ACM-T-0089,acme,CUST-002,email_pdf,2026-05-12,1) Tolsen Cable Tie 450mm Natural,100,,482.05,,,,ACM-CABL0098
ACM-T-0090,acme,CUST-007,voice_note,2026-04-09,- Remax Self Drilling #12 x Zinc Plated,1,,303.94,007078304,,,ACM-SELF0813
ACM-T-0091,acme,CUST-003,email_pdf,2026-05-28,- Vermont PVC 32mm Class,12,,,,973886227128,,ACM-PVCP0650
ACM-T-0092,acme,CUST-003,voice_note,2026-06-07,Tolsen Hose Clip 19-25mm SS304,1,,,003154993,,,ACM-HOSE0911
ACM-T-0093,acme,CUST-005,portal_csv,2026-07-01,Stallion PVC Pipe 25mm E,20,ctn,,,,,
ACM-T-0094,acme,CUST-001,whatsapp,2026-08-27,Cadbury Dairy Milk 165g,20,,,,,,
ACM-T-0095,acme,CUST-007,portal_csv,2026-07-07,deliver by friday please,,,,,,,
ACM-T-0096,acme,CUST-008,whatsapp,2026-08-28,need  Bosco  Safety  Helmet  Yellow  Ratchet,50,pcs,,,,,ACM-SAFE0483
ACM-T-0097,acme,CUST-002,email_pdf,2026-05-20,"pls send Vermont BBaall Valve 3/4"" Brass",100,,71.75,,,,ACM-BALL0802
ACM-T-0098,acme,CUST-007,email_pdf,2026-06-05,1) Tolsen Cable Tie 450Mm Natural,5,unit,,,,,ACM-CABL0098
ACM-T-0099,acme,CUST-006,portal_csv,2026-05-15,pls send Stallion Wall Plug 12Mm Red,1,,,,,,ACM-WALL0556
ACM-T-0100,acme,CUST-008,voice_note,2026-05-15,"need - Kanto - Angle - Grinder - Disc - 5"" - Cutting",20,ea,,,,,ACM-ANGL0672
ACM-T-0101,acme,CUST-004,whatsapp,2026-08-07,Stallion Plug 10mm Red,100,,,,,,ACM-WALL0524
ACM-T-0102,acme,CUST-004,whatsapp,2026-08-27,need Remax Cable Tie 150mm White x24 dozen,12,case,2304.84,,,price quoted per outer,ACM-CABL1035
ACM-T-0103,acme,CUST-004,email_pdf,2026-07-17,M6x50 304,20,,,NRD-HEXB0803,,,ACM-HEXB0780
ACM-T-0104,acme,CUST-008,portal_csv,2026-06-07,Vermont Bolt M8x50,3,,272.99,,993363759884,,ACM-HEXB1074
ACM-T-0105,acme,CUST-008,portal_csv,2026-05-25,GI Wire #18 Hard,24,,,008866277,,,ACM-GIWI0789
ACM-T-0106,acme,CUST-003,portal_csv,2026-04-19,Stallion Cable Tie 370mm Black,10,ea,217.25,003603835,,,ACM-CABL1003
ACM-T-0107,acme,CUST-004,email_pdf,2026-05-06,Vermont PVC 50mm,20,pcs,,,,,
ACM-T-0108,acme,CUST-004,portal_csv,2026-08-18,3M 8210 N95 respirator box 20,6,pcs,,,,,
ACM-T-0109,acme,CUST-002,voice_note,2026-06-10,PO attached,,,,,,,
ACM-T-0110,acme,CUST-007,portal_csv,2026-04-21,Hitex Hex Bolt M10x75 Stainless 316,2,,84.99,,,,ACM-HEXB0005
ACM-T-0111,acme,CUST-007,voice_note,2026-07-16,need Hitex PPVC Pipe 05mm Class E,24,,19.97,,,,ACM-PVCP1009
ACM-T-0112,acme,CUST-006,voice_note,2026-06-23,remax - hex - bolt - m8x75 - ZP,6,pcs,,,,,ACM-HEXB0860
ACM-T-0113,acme,CUST-007,voice_note,2026-04-27,Remax  Self  Drilling  skru  #8  x  3/4 inch  Stainless  410,24,,,,,,ACM-SELF0868
ACM-T-0114,acme,CUST-007,whatsapp,2026-07-04,Stallion Self Drilling Screw #10 x 1'' Stainless,100,,432.52,,,,
ACM-T-0115,acme,CUST-003,portal_csv,2026-07-07,Hitex/Self/Drilling/Screw/#10/x/1-1/2''/Zinc/Plated/x12,2,ctn,10847.04,,,price quoted per outer,ACM-SELF0945
ACM-T-0116,acme,CUST-007,portal_csv,2026-04-25,Stallion Wall Plug 10mm Blue x24 ctn,100,ctn,3593.7,,,price quoted per outer,ACM-WALL0264
ACM-T-0117,acme,CUST-004,whatsapp,2026-05-10,"- Remax Angle Grinder Disc 4"" Flap",12,,53.86,004007634,,,ACM-ANGL0753
ACM-T-0118,acme,CUST-001,whatsapp,2026-04-21,Plug 12mm Blue,2,packet,,,999622531915,,ACM-WALL0210
ACM-T-0119,acme,CUST-005,portal_csv,2026-06-23,urgent Remax Nitrile Glove S Blue,20,,368.3,005739246,,,ACM-NITR0903
ACM-T-0120,acme,CUST-008,email_pdf,2026-08-17,PVC Pipe Class D,10,ctn,,,,,
ACM-T-0121,acme,CUST-003,whatsapp,2026-07-06,Cadbury Dairy Milk 165g,6,pcs,,,,,
ACM-T-0122,acme,CUST-001,portal_csv,2026-06-01,kindly quote best price,,,,,,,
ACM-T-0123,acme,CUST-007,voice_note,2026-04-14,Bosco Nitrile Glove L Black,2,unit,336.95,,,,
ACM-T-0124,acme,CUST-005,email_pdf,2026-07-27,"item: Stallion al Valve 3/4"" PVC",1,,216.25,,,,ACM-BALL0662
ACM-T-0125,acme,CUST-008,whatsapp,2026-07-19,- Knato Masking Taep 12mm General,2,,471.57,,,,ACM-MASK0061
ACM-T-0126,acme,CUST-008,whatsapp,2026-06-16,bosco masking tape 48mm high temp,2,pcs,,,,,ACM-MASK0982
ACM-T-0127,acme,CUST-004,portal_csv,2026-04-25,Hitex PVC paip 32mm Class E,2,,1.58,,,,ACM-PVCP0447
ACM-T-0128,acme,CUST-005,portal_csv,2026-08-19,Hitex Plug 12mm Blue,50,,222.82,,,,ACM-WALL0532
ACM-T-0129,acme,CUST-001,whatsapp,2026-08-17,"Stallion Angle Grinder Disc 4"" Cutting x48",12,box,2765.3,,,price quoted per outer,ACM-ANGL1000
ACM-T-0130,acme,CUST-007,portal_csv,2026-07-20,"Remax Self Drilling Screw #8 x 1"" Zinc Plated",5,,295.06,,,,
ACM-T-0131,acme,CUST-002,email_pdf,2026-05-17,urgent Bosco Cable Tie 100mm White,24,packet,282.35,,,,ACM-CABL0910
ACM-T-0132,acme,CUST-006,portal_csv,2026-04-13,GI Wire,20,kg,94.76,006495314,,,ACM-GIWI0811
ACM-T-0133,acme,CUST-005,portal_csv,2026-08-16,urgent Pipe 40mm Class D,6,length,,005178210,,,ACM-PVCP0561
ACM-T-0134,acme,CUST-004,whatsapp,2026-08-16,Tolsen Hex Bolt M8x50 HDG,50,ctn,,,,,
ACM-T-0135,acme,CUST-007,email_pdf,2026-07-01,Makita LS1040 mitre saw 240v,10,unit,,,,,
ACM-T-0136,acme,CUST-001,portal_csv,2026-05-09,kindly quote best price,1,,,,,,
ACM-T-0137,acme,CUST-001,voice_note,2026-04-17,Tolsen - Hex - Bolt - M8x30 - Stainless - 304,5,,430.48,,,,ACM-HEXB1020
ACM-T-0138,acme,CUST-007,email_pdf,2026-05-15,Stallion HHex Bolt M8x50 Stainless 316,1,,,,,,ACM-HEXB0374
ACM-T-0139,acme,CUST-007,voice_note,2026-06-01,"Hitex Ball Valve 1-1/4"" Brass",50,,244.88,,,,ACM-BALL0045
ACM-T-0140,acme,CUST-005,whatsapp,2026-06-12,"Stallion Angle Grinder Disc 7"" Flap",5,ea,,,,,ACM-ANGL0985
ACM-T-0141,acme,CUST-006,email_pdf,2026-08-25,-/Stallion/Cable/450mm/White,12,,,,,,ACM-CABL0744
ACM-T-0142,acme,CUST-006,voice_note,2026-07-10,Kanto PVC Pipe 25mm Class C,100,pcs,166.02,,,,
ACM-T-0143,acme,CUST-004,voice_note,2026-04-21,pls send Remax GI Wire #16 Hard Drawn x12 case,6,ctn,238.21,,,price quoted per outer,ACM-GIWI0627
ACM-T-0144,acme,CUST-008,whatsapp,2026-07-11,Kanto Hex Bolt M8x50 HDG,10,,77.4,,,,ACM-HEXB0115
ACM-T-0145,acme,CUST-002,portal_csv,2026-06-13,1) Bosco Hex Bolt M8x30 HDG,6,,,,,,ACM-HEXB0572
ACM-T-0146,acme,CUST-002,portal_csv,2026-05-24,Vermont Hex Bolt M8x30 Stainless 316,6,,362.36,002376574,,,ACM-HEXB0743
ACM-T-0147,acme,CUST-004,whatsapp,2026-08-16,Cable Tie 200mm White,100,pcs,,,,,
ACM-T-0148,acme,CUST-007,whatsapp,2026-08-12,Epson 003 ink black bottle,12,box,,,,,
ACM-T-0149,acme,CUST-007,voice_note,2026-06-15,Nescafe Gold refill 170g,12,,,,,,
ACM-T-0150,acme,CUST-003,voice_note,2026-04-07,"Vermont Self Drilling Screw #10 x 1"" Zinc Plated",5,packet,125.04,,,,
ACM-T-0151,acme,CUST-007,portal_csv,2026-05-24,Tolsen Cablle Tie 3700mm White,50,unit,22.68,,,,ACM-CABL0689
ACM-T-0152,acme,CUST-008,portal_csv,2026-05-02,Tolsen Hex Boolt M8x50 HDGG (Bulk),20,,,,,,ACM-HEXB0675B
ACM-T-0153,acme,CUST-004,whatsapp,2026-07-23,Hitex Hex Bolt M10X75 SS316,6,pcs,,,,,ACM-HEXB0005
ACM-T-0154,acme,CUST-001,voice_note,2026-08-14,Stallion Hex Bolt M10x75 HDG,2,ea,129.76,,,,ACM-HEXB0426
ACM-T-0155,acme,CUST-004,whatsapp,2026-07-09,Vermont Cable 100mm,24,,,,,,
ACM-T-0156,acme,CUST-003,voice_note,2026-07-06,"Hitex Angle Grinder Disc 7"" Cutting x48 pkt",50,case,1396.02,,,price quoted per outer,ACM-ANGL0533
ACM-T-0157,acme,CUST-004,email_pdf,2026-05-17,Tolsen - PVC - Pipe - 25mm - Class - C,6,length,,,,,
ACM-T-0158,acme,CUST-002,voice_note,2026-04-08,Stallion PVC Class,3,pcs,39.79,002727011,,,ACM-PVCP0192
ACM-T-0159,acme,CUST-006,email_pdf,2026-07-25,Tolsen Nitrile Glove,100,,452.85,,929890864095,,ACM-NITR0574
ACM-T-0160,acme,CUST-007,portal_csv,2026-04-08,Kanto Cable 370mm Black,50,,,007420999,,,ACM-CABL0287
ACM-T-0161,acme,CUST-004,whatsapp,2026-07-04,"Hitex Angle Grinder Disc 4.5"" Flap",5,,,,,,
ACM-T-0162,acme,CUST-006,portal_csv,2026-05-22,Nescafe Gold refill 170g,3,box,,,,,
ACM-T-0163,acme,CUST-008,whatsapp,2026-05-09,pls confirm stock first,1,,,,,,
ACM-T-0164,acme,CUST-003,portal_csv,2026-06-10,Vermont Hex Bolt M12x60 Zinc Plated,50,,53.13,,,,ACM-HEXB0566
ACM-T-0165,acme,CUST-008,whatsapp,2026-05-04,Vermont Hex  Bolt M6x3 HDG,1,,349.79,,,,ACM-HEXB0433
ACM-T-0166,acme,CUST-006,email_pdf,2026-05-21,"BOSCO GRINDING DISC 5"" FLAP",10,,,,,,ACM-ANGL1068
ACM-T-0167,acme,CUST-006,whatsapp,2026-08-28,Bosco Hose Clip 38-50Mm Zinc,50,,,,,,ACM-HOSE1094
ACM-T-0168,acme,CUST-006,portal_csv,2026-05-16,need Bosco Cable Tie 200mm Natural,5,unit,,,,,ACM-CABL0452
ACM-T-0169,acme,CUST-001,voice_note,2026-04-16,Vermont Ball Valve PVC,24,,,,,,
ACM-T-0170,acme,CUST-006,voice_note,2026-07-14,Bosco Hex Bolt M8x30 HDG x24 dozen,100,carton,36708.0,,,price quoted per outer,ACM-HEXB0572
ACM-T-0171,acme,CUST-007,portal_csv,2026-05-16,Bosco  Ball  Valve  3/4 inch  SS304,6,unit,119.69,,,,ACM-BALL0797
ACM-T-0172,acme,CUST-003,email_pdf,2026-06-21,"Valve 2"" Brass",12,,15.7,,944734710871,,ACM-BALL0688
ACM-T-0173,acme,CUST-005,email_pdf,2026-07-15,"Vermont Ball Valve 3/4""",1,ea,,005676456,,,ACM-BALL0954
ACM-T-0174,acme,CUST-002,portal_csv,2026-06-21,Tolsen Hex Bolt M8x50,1,ctn,,,,,
ACM-T-0175,acme,CUST-005,portal_csv,2026-08-22,PVC 15mm Class D,2,,,,,,
ACM-T-0176,acme,CUST-008,voice_note,2026-08-24,3M 8210 N95 respirator box 20,1,unit,,,,,
ACM-T-0177,acme,CUST-001,whatsapp,2026-05-11,"- Vermont Self Drilling Screw #10 x 1-1/2"" Stainless 410",3,unit,,,,,
ACM-T-0178,acme,CUST-005,voice_note,2026-07-01,urgent Kanto Hex Bolt M6x30 Stainles 361,5,,483.35,,,,ACM-HEXB0086
ACM-T-0179,acme,CUST-007,whatsapp,2026-04-05,"Remax Ball Valve "" 1PVC",1,,245.34,,,,ACM-BALL0729
ACM-T-0180,acme,CUST-002,whatsapp,2026-04-28,Stallion Gi Wire #20 Hard Drawn,20,,,,,,ACM-GIWI0841
ACM-T-0181,acme,CUST-001,voice_note,2026-07-13,"Kanto Angle Grinder Disc 4"" Cutting",100,,320.1,,,,ACM-ANGL0217
ACM-T-0182,acme,CUST-004,email_pdf,2026-07-14,Stallion PVC Pipe 15mm Class E,2,,204.45,,,,
ACM-T-0183,acme,CUST-008,portal_csv,2026-05-02,Stallion Cable Tie 450mm Black x24,3,ctn,41953.0,,,price quoted per outer,ACM-CABL1008
ACM-T-0184,acme,CUST-006,email_pdf,2026-08-16,item: STALLION DRILLING SCREW #12 X 2'' PLATED,12,,268.35,006216604,,,ACM-SELF0079
ACM-T-0185,acme,CUST-003,email_pdf,2026-05-07,Safety Helmet Standard,20,ea,193.37,003516998,,,ACM-SAFE0725
ACM-T-0186,acme,CUST-005,voice_note,2026-05-05,PVC 20mm Class E,20,ea,,,964596040533,,ACM-PVCP1070
ACM-T-0187,acme,CUST-002,whatsapp,2026-04-27,Stallion Clip 25-38mm SS304,6,pcs,187.52,002351852,,,ACM-HOSE0191
ACM-T-0188,acme,CUST-005,voice_note,2026-07-03,Stallion PVC Pipe E,3,ctn,,,,,
ACM-T-0189,acme,CUST-007,portal_csv,2026-08-24,Wagyu striploin MB7 grain fed,100,unit,,,,,
ACM-T-0190,acme,CUST-001,portal_csv,2026-04-14,thanks bro,1,,,,,,
ACM-T-0191,acme,CUST-008,voice_note,2026-06-15,item:  Remax  Wall  Plug  6mm  Brown,3,,,,,,ACM-WALL0143
ACM-T-0192,acme,CUST-001,whatsapp,2026-06-03,"-  Hitex  Slf  Driling  Screw  #12  x  2""  Stainless  410",5,,,,,,ACM-SELF0250
ACM-T-0193,acme,CUST-003,email_pdf,2026-07-07,hitex hex bolt m10x50 SS316,3,pcs,,,,,ACM-HEXB0930
ACM-T-0194,acme,CUST-002,portal_csv,2026-08-27,STALLION WALL PLUG 8MM BROWN,24,,135.25,,,,ACM-WALL0066
ACM-T-0195,acme,CUST-003,voice_note,2026-07-06,Tolsen Cable Tie 100mm putih,6,pcs,388.26,,,,ACM-CABL0461
ACM-T-0196,acme,CUST-002,voice_note,2026-06-12,"Bosco Ball Valve 1/2"" SS304",50,pcs,,,,,
ACM-T-0197,acme,CUST-001,voice_note,2026-04-13,Stallion  Hex  Bolt  M6x30  Stainless  316  x6  dozen,12,ctn,118.86,,,price quoted per outer,ACM-HEXB0517
ACM-T-0198,acme,CUST-002,portal_csv,2026-06-20,"Remax Angle Grinder Disc 5"" Flap",6,unit,166.04,,,,
ACM-T-0199,acme,CUST-007,voice_note,2026-04-17,"urgent Kanto Angle Grinder Disc 4.5"" Cutting",50,,25.43,,,,ACM-ANGL1019
ACM-T-0200,acme,CUST-007,voice_note,2026-07-20,Kanto Ratchet,20,,,007428936,,,ACM-SAFE0579
ACM-T-0201,acme,CUST-006,email_pdf,2026-04-24,Kanto Cable Tie 370mm,12,,,006402725,,,ACM-CABL0287
ACM-T-0202,acme,CUST-005,portal_csv,2026-08-10,"Hitex Angle Grinder Disc 4.5"" Flap",12,,,,,,
ACM-T-0203,acme,CUST-008,portal_csv,2026-07-05,Nescafe Gold refill 170g,12,box,,,,,
ACM-T-0204,acme,CUST-002,voice_note,2026-08-16,pls confirm stock first,1,,,,,,
ACM-T-0205,acme,CUST-006,portal_csv,2026-05-06,Stallion/Hex/Bolt/M10x75/Stainless/316,2,ea,315.18,,,,ACM-HEXB0781
