tenant,item_code,uom,conversion_factor,is_stock_uom
acme,ACM-ANGL0444,Carton,6.0,0
acme,ACM-GIWI0955,Kg,1.0,1
acme,ACM-CABL0098,Packet,1.0,1
acme,ACM-CABL0098,Carton,50.0,0
acme,ACM-HOSE0853,Pcs,1.0,1
acme,ACM-HOSE0853,Carton,12.0,0
acme,ACM-NITR0804,Box,1.0,1
acme,ACM-CABL0816,Packet,1.0,1
acme,ACM-CABL0816,Carton,10.0,0
acme,ACM-CABL1088,Packet,1.0,1
acme,ACM-CABL1088,Carton,6.0,0
acme,ACM-HEXB0147,Pcs,1.0,1
acme,ACM-HEXB0147,Carton,100.0,0
acme,ACM-WALL0559,Packet,1.0,1
acme,ACM-WALL0559,Carton,50.0,0
acme,ACM-CABL0054,Packet,1.0,1
acme,ACM-CABL0054,Carton,12.0,0
acme,ACM-CABL0744,Packet,1.0,1
acme,ACM-CABL0744,Carton,24.0,0
acme,ACM-ANGL0336,Packet,1.0,1
acme,ACM-ANGL0336,Carton,24.0,0
acme,ACM-ANGL0810,Packet,1.0,1
acme,ACM-ANGL0810,Carton,10.0,0
acme,ACM-NITR1076,Box,1.0,1
acme,ACM-CABL0687,Packet,1.0,1
acme,ACM-CABL0687,Carton,50.0,0
acme,ACM-WALL0047-OLD,Packet,1.0,1
acme,ACM-WALL0047-OLD,Carton,12.0,0
acme,ACM-CABL0368,Packet,1.0,1
acme,ACM-CABL0368,Carton,12.0,0
acme,ACM-HOSE0180,Pcs,1.0,1
acme,ACM-HOSE0180,Carton,100.0,0
acme,ACM-CABL1016,Packet,1.0,1
acme,ACM-CABL1016,Carton,100.0,0
acme,ACM-CABL0792,Packet,1.0,1
acme,ACM-CABL0792,Carton,100.0,0
acme,ACM-SAFE0847,Nos,1.0,1
acme,ACM-SAFE0847,Carton,6.0,0
acme,ACM-CABL0078,Packet,1.0,1
acme,ACM-CABL0078,Carton,50.0,0
acme,ACM-SELF0288,Packet,1.0,1
acme,ACM-SELF0288,Carton,24.0,0
acme,ACM-SELF0079,Packet,1.0,1
acme,ACM-SELF0079,Carton,50.0,0
acme,ACM-PVCP0619,Length,1.0,1
acme,ACM-WALL0371,Packet,1.0,1
acme,ACM-WALL0371,Carton,50.0,0
acme,ACM-SELF0686,Packet,1.0,1
acme,ACM-SELF0686,Carton,12.0,0
acme,ACM-HOSE0244,Pcs,1.0,1
acme,ACM-HOSE0244,Carton,100.0,0
acme,ACM-SELF0694,Packet,1.0,1
acme,ACM-SELF0694,Carton,10.0,0
acme,ACM-HEXB0877,Pcs,1.0,1
acme,ACM-HEXB0877,Carton,10.0,0
acme,ACM-BALL0978,Nos,1.0,1
acme,ACM-BALL0978,Carton,24.0,0
acme,ACM-HEXB0087,Pcs,1.0,1
acme,ACM-HEXB0087,Carton,12.0,0
acme,ACM-SAFE0144,Nos,1.0,1
acme,ACM-SAFE0144,Carton,12.0,0
acme,ACM-HEXB0757,Pcs,1.0,1
acme,ACM-HEXB0757,Carton,24.0,0
acme,ACM-BALL0037,Nos,1.0,1
acme,ACM-BALL0037,Carton,100.0,0
acme,ACM-MASK0770,Roll,1.0,1
acme,ACM-MASK0770,Carton,50.0,0
acme,ACM-PVCP0195,Length,1.0,1
acme,ACM-HEXB0350,Pcs,1.0,1
acme,ACM-HEXB0350,Carton,12.0,0
acme,ACM-CABL0910,Packet,1.0,1
acme,ACM-CABL0910,Carton,100.0,0
acme,ACM-SELF0121,Packet,1.0,1
acme,ACM-SELF0121,Carton,10.0,0
acme,ACM-BALL0562,Nos,1.0,1
acme,ACM-BALL0562,Carton,50.0,0
acme,ACM-PVCP0482,Length,1.0,1
acme,ACM-HEXB0361,Pcs,1.0,1
acme,ACM-HEXB0361,Carton,12.0,0
acme,ACM-BALL0851,Nos,1.0,1
acme,ACM-BALL0851,Carton,6.0,0
acme,ACM-BALL1007,Nos,1.0,1
acme,ACM-BALL1007,Carton,50.0,0
acme,ACM-ANGL0265,Packet,1.0,1
acme,ACM-ANGL0265,Carton,100.0,0
acme,ACM-WALL1082,Packet,1.0,1
acme,ACM-WALL1082,Carton,6.0,0
acme,ACM-CABL0576,Packet,1.0,1
acme,ACM-CABL0576,Carton,24.0,0
acme,ACM-PVCP0281,Length,1.0,1
acme,ACM-HOSE0531,Pcs,1.0,1
acme,ACM-HOSE0531,Carton,6.0,0
acme,ACM-SELF1092,Packet,1.0,1
acme,ACM-SELF1092,Carton,10.0,0
acme,ACM-HEXB0599,Pcs,1.0,1
acme,ACM-HEXB0599,Carton,12.0,0
acme,ACM-ANGL0773,Packet,1.0,1
acme,ACM-ANGL0773,Carton,12.0,0
acme,ACM-WALL1024,Packet,1.0,1
acme,ACM-WALL1024,Carton,50.0,0
acme,ACM-HOSE0953,Pcs,1.0,1
acme,ACM-HOSE0953,Carton,24.0,0
acme,ACM-HEXB0714,Pcs,1.0,1
acme,ACM-HEXB0714,Carton,10.0,0
acme,ACM-GIWI0997,Kg,1.0,1
acme,ACM-SELF0777,Packet,1.0,1
acme,ACM-SELF0777,Carton,6.0,0
acme,ACM-GIWI0495,Kg,1.0,1
acme,ACM-PVCP1070,Length,1.0,1
acme,ACM-BALL0173,Nos,1.0,1
acme,ACM-BALL0173,Carton,100.0,0
acme,ACM-HEXB0585,Pcs,1.0,1
acme,ACM-HEXB0585,Carton,10.0,0
acme,ACM-CABL1084,Packet,1.0,1
acme,ACM-CABL1084,Carton,100.0,0
acme,ACM-PVCP0666,Length,1.0,1
acme,ACM-PVCP0666B,Length,1.0,1
acme,ACM-PVCP0666B,Carton,144.0,0
acme,ACM-MASK0421,Roll,1.0,1
acme,ACM-MASK0421,Carton,6.0,0
acme,ACM-PVCP1051,Length,1.0,1
acme,ACM-ANGL0899,Packet,1.0,1
acme,ACM-ANGL0899,Carton,100.0,0
acme,ACM-SAFE0370,Nos,1.0,1
acme,ACM-SAFE0370,Carton,10.0,0
acme,ACM-PVCP0994-OLD,Length,1.0,1
acme,ACM-WALL0758,Packet,1.0,1
acme,ACM-WALL0758,Carton,10.0,0
acme,ACM-WALL0875,Packet,1.0,1
acme,ACM-WALL0875,Carton,12.0,0
acme,ACM-HOSE0185,Pcs,1.0,1
acme,ACM-HOSE0185,Carton,100.0,0
acme,ACM-HEXB0491,Pcs,1.0,1
acme,ACM-HEXB0491,Carton,24.0,0
acme,ACM-BALL0325,Nos,1.0,1
acme,ACM-BALL0325,Carton,10.0,0
acme,ACM-PVCP0799,Length,1.0,1
acme,ACM-HEXB0148,Pcs,1.0,1
acme,ACM-HEXB0148,Carton,100.0,0
acme,ACM-HOSE0911,Pcs,1.0,1
acme,ACM-HOSE0911,Carton,12.0,0
acme,ACM-HEXB0870,Pcs,1.0,1
acme,ACM-HEXB0870,Carton,10.0,0
acme,ACM-BALL0278,Nos,1.0,1
acme,ACM-BALL0278,Carton,100.0,0
acme,ACM-BALL0364,Nos,1.0,1
acme,ACM-BALL0364,Carton,12.0,0
acme,ACM-WALL0143,Packet,1.0,1
acme,ACM-WALL0143,Carton,12.0,0
acme,ACM-MASK0378,Roll,1.0,1
acme,ACM-MASK0378,Carton,6.0,0
acme,ACM-HOSE0191,Pcs,1.0,1
acme,ACM-HOSE0191,Carton,12.0,0
acme,ACM-CABL0913,Packet,1.0,1
acme,ACM-CABL0913,Carton,12.0,0
acme,ACM-HOSE1095,Pcs,1.0,1
acme,ACM-HOSE1095,Carton,10.0,0
acme,ACM-HEXB0893,Pcs,1.0,1
acme,ACM-HEXB0893,Carton,24.0,0
acme,ACM-ANGL1019,Packet,1.0,1
acme,ACM-ANGL1019,Carton,12.0,0
acme,ACM-PVCP0076,Length,1.0,1
acme,ACM-CABL0321,Packet,1.0,1
acme,ACM-CABL0321,Carton,6.0,0
acme,ACM-GIWI0620,Kg,1.0,1
acme,ACM-CABL0322,Packet,1.0,1
acme,ACM-CABL0322,Carton,50.0,0
acme,ACM-GIWI0801,Kg,1.0,1
acme,ACM-BALL0818,Nos,1.0,1
acme,ACM-BALL0818,Carton,24.0,0
acme,ACM-WALL0210,Packet,1.0,1
acme,ACM-WALL0210,Carton,10.0,0
acme,ACM-NITR0808,Box,1.0,1
acme,ACM-HEXB0572,Pcs,1.0,1
acme,ACM-HEXB0572,Carton,100.0,0
acme,ACM-GIWI0663,Kg,1.0,1
acme,ACM-PVCP1002,Length,1.0,1
acme,ACM-WALL0817,Packet,1.0,1
acme,ACM-WALL0817,Carton,12.0,0
acme,ACM-PVCP0854,Length,1.0,1
acme,ACM-SELF0204,Packet,1.0,1
acme,ACM-SELF0204,Carton,100.0,0
acme,ACM-PVCP0896,Length,1.0,1
acme,ACM-BALL0682,Nos,1.0,1
acme,ACM-BALL0682,Carton,100.0,0
acme,ACM-HEXB0790,Pcs,1.0,1
acme,ACM-HEXB0790,Carton,50.0,0
acme,ACM-SAFE0202,Nos,1.0,1
acme,ACM-SAFE0202,Carton,50.0,0
acme,ACM-WALL0776,Packet,1.0,1
acme,ACM-WALL0776,Carton,24.0,0
acme,ACM-SELF0869,Packet,1.0,1
acme,ACM-SELF0869,Carton,24.0,0
acme,ACM-PVCP0614,Length,1.0,1
acme,ACM-HEXB0158,Pcs,1.0,1
acme,ACM-HEXB0158,Carton,12.0,0
acme,ACM-WALL0140,Packet,1.0,1
acme,ACM-WALL0140,Carton,12.0,0
acme,ACM-CABL1003-OLD,Packet,1.0,1
acme,ACM-CABL1003-OLD,Carton,6.0,0
acme,ACM-HEXB0613,Pcs,1.0,1
acme,ACM-HEXB0613,Carton,50.0,0
acme,ACM-HEXB0212,Pcs,1.0,1
acme,ACM-HEXB0212,Carton,24.0,0
acme,ACM-BALL0659,Nos,1.0,1
acme,ACM-BALL0659,Carton,12.0,0
acme,ACM-MASK0891,Roll,1.0,1
acme,ACM-MASK0891,Carton,6.0,0
acme,ACM-CABL1008,Packet,1.0,1
acme,ACM-CABL1008,Carton,100.0,0
acme,ACM-WALL1042,Packet,1.0,1
acme,ACM-WALL1042,Carton,6.0,0
acme,ACM-NITR0240,Box,1.0,1
acme,ACM-MASK0405,Roll,1.0,1
acme,ACM-MASK0405,Carton,6.0,0
acme,ACM-HEXB1074,Pcs,1.0,1
acme,ACM-HEXB1074,Carton,50.0,0
acme,ACM-NITR0565,Box,1.0,1
acme,ACM-PVCP0082,Length,1.0,1
acme,ACM-CABL0550,Packet,1.0,1
acme,ACM-CABL0550,Carton,100.0,0
acme,ACM-MASK0713,Roll,1.0,1
acme,ACM-MASK0713,Carton,100.0,0
acme,ACM-NITR0514,Box,1.0,1
acme,ACM-HEXB0374,Pcs,1.0,1
acme,ACM-HEXB0374,Carton,12.0,0
acme,ACM-HEXB0139,Pcs,1.0,1
acme,ACM-HEXB0139,Carton,12.0,0
acme,ACM-SELF0519,Packet,1.0,1
acme,ACM-SELF0519,Carton,10.0,0
acme,ACM-GIWI0451,Kg,1.0,1
acme,ACM-GIWI0892,Kg,1.0,1
acme,ACM-WALL0901,Packet,1.0,1
acme,ACM-WALL0901,Carton,6.0,0
acme,ACM-WALL0114,Packet,1.0,1
acme,ACM-WALL0114,Carton,10.0,0
acme,ACM-WALL0604,Packet,1.0,1
acme,ACM-WALL0604,Carton,10.0,0
acme,ACM-HEXB0701,Pcs,1.0,1
acme,ACM-HEXB0701,Carton,50.0,0
acme,ACM-PVCP0673,Length,1.0,1
acme,ACM-BALL0552,Nos,1.0,1
acme,ACM-BALL0552,Carton,6.0,0
acme,ACM-GIWI0774,Kg,1.0,1
acme,ACM-HEXB0223,Pcs,1.0,1
acme,ACM-HEXB0223,Carton,10.0,0
acme,ACM-BALL0376,Nos,1.0,1
acme,ACM-BALL0376,Carton,24.0,0
acme,ACM-PVCP0023,Length,1.0,1
acme,ACM-HEXB0791,Pcs,1.0,1
acme,ACM-HEXB0791,Carton,6.0,0
acme,ACM-BALL1078,Nos,1.0,1
acme,ACM-BALL1078,Carton,100.0,0
acme,ACM-HOSE0678,Pcs,1.0,1
acme,ACM-HOSE0678,Carton,6.0,0
acme,ACM-BALL0227,Nos,1.0,1
acme,ACM-BALL0227,Carton,50.0,0
acme,ACM-WALL0926,Packet,1.0,1
acme,ACM-WALL0926,Carton,24.0,0
acme,ACM-NITR0671,Box,1.0,1
acme,ACM-ANGL0472,Packet,1.0,1
acme,ACM-ANGL0472,Carton,100.0,0
acme,ACM-PVCP0117,Length,1.0,1
acme,ACM-HEXB0566,Pcs,1.0,1
acme,ACM-HEXB0566,Carton,12.0,0
acme,ACM-NITR0586,Box,1.0,1
acme,ACM-HEXB0189,Pcs,1.0,1
acme,ACM-HEXB0189,Carton,24.0,0
acme,ACM-PVCP0755,Length,1.0,1
acme,ACM-HEXB1062,Pcs,1.0,1
acme,ACM-HEXB1062,Carton,12.0,0
acme,ACM-PVCP0573,Length,1.0,1
acme,ACM-WALL0724,Packet,1.0,1
acme,ACM-WALL0724,Carton,100.0,0
acme,ACM-ANGL1022,Packet,1.0,1
acme,ACM-ANGL1022,Carton,50.0,0
acme,ACM-BALL0174,Nos,1.0,1
acme,ACM-BALL0174,Carton,6.0,0
acme,ACM-WALL0232,Packet,1.0,1
acme,ACM-WALL0232,Carton,50.0,0
acme,ACM-NITR0760,Box,1.0,1
acme,ACM-SELF0247-OLD,Packet,1.0,1
acme,ACM-SELF0247-OLD,Carton,24.0,0
acme,ACM-WALL0383,Packet,1.0,1
acme,ACM-WALL0383,Carton,6.0,0
acme,ACM-CABL0329,Packet,1.0,1
acme,ACM-CABL0329,Carton,12.0,0
acme,ACM-WALL0002,Packet,1.0,1
acme,ACM-WALL0002,Carton,12.0,0
acme,ACM-ANGL0402,Packet,1.0,1
acme,ACM-ANGL0402,Carton,6.0,0
acme,ACM-NITR0655,Box,1.0,1
acme,ACM-BALL0123,Nos,1.0,1
acme,ACM-BALL0123,Carton,10.0,0
acme,ACM-BALL0674,Nos,1.0,1
acme,ACM-BALL0674,Carton,10.0,0
acme,ACM-PVCP0794,Length,1.0,1
acme,ACM-HEXB0271,Pcs,1.0,1
acme,ACM-HEXB0271,Carton,12.0,0
acme,ACM-CABL0137,Packet,1.0,1
acme,ACM-CABL0137,Carton,12.0,0
acme,ACM-PVCP0306-OLD,Length,1.0,1
acme,ACM-HEXB0028B,Pcs,1.0,1
acme,ACM-HEXB0028B,Carton,144.0,0
acme,ACM-CABL1028,Packet,1.0,1
acme,ACM-CABL1028,Carton,50.0,0
acme,ACM-HEXB0145,Pcs,1.0,1
acme,ACM-HEXB0145,Carton,12.0,0
acme,ACM-MASK0133,Roll,1.0,1
acme,ACM-MASK0133,Carton,24.0,0
acme,ACM-HEXB0249,Pcs,1.0,1
acme,ACM-HEXB0249,Carton,100.0,0
acme,ACM-ANGL0914,Packet,1.0,1
acme,ACM-ANGL0914,Carton,24.0,0
acme,ACM-MASK0982,Roll,1.0,1
acme,ACM-MASK0982,Carton,100.0,0
acme,ACM-HEXB0939,Pcs,1.0,1
acme,ACM-HEXB0939,Carton,12.0,0
acme,ACM-PVCP0314,Length,1.0,1
acme,ACM-CABL0109,Packet,1.0,1
acme,ACM-CABL0109,Carton,6.0,0
acme,ACM-SELF0945,Packet,1.0,1
acme,ACM-SELF0945,Carton,24.0,0
acme,ACM-PVCP0970,Length,1.0,1
acme,ACM-HOSE0373,Pcs,1.0,1
acme,ACM-HOSE0373,Carton,24.0,0
acme,ACM-HEXB0595,Pcs,1.0,1
acme,ACM-HEXB0595,Carton,100.0,0
acme,ACM-PVCP1066,Length,1.0,1
acme,ACM-PVCP0164,Length,1.0,1
acme,ACM-HEXB0060,Pcs,1.0,1
acme,ACM-HEXB0060,Carton,10.0,0
acme,ACM-SAFE0981,Nos,1.0,1
acme,ACM-SAFE0981,Carton,100.0,0
acme,ACM-BALL0584,Nos,1.0,1
acme,ACM-BALL0584,Carton,100.0,0
acme,ACM-WALL1021,Packet,1.0,1
acme,ACM-WALL1021,Carton,10.0,0
acme,ACM-HEXB0415,Pcs,1.0,1
acme,ACM-HEXB0415,Carton,24.0,0
acme,ACM-HOSE0450,Pcs,1.0,1
acme,ACM-HOSE0450,Carton,12.0,0
acme,ACM-CABL0646,Packet,1.0,1
acme,ACM-CABL0646,Carton,12.0,0
acme,ACM-WALL1093,Packet,1.0,1
acme,ACM-WALL1093,Carton,6.0,0
acme,ACM-HEXB1025,Pcs,1.0,1
acme,ACM-HEXB1025,Carton,10.0,0
acme,ACM-HEXB0380,Pcs,1.0,1
acme,ACM-HEXB0380,Carton,10.0,0
acme,ACM-HEXB0528,Pcs,1.0,1
acme,ACM-HEXB0528,Carton,50.0,0
acme,ACM-HOSE0150,Pcs,1.0,1
acme,ACM-HOSE0150,Carton,100.0,0
acme,ACM-ANGL1085,Packet,1.0,1
acme,ACM-ANGL1085,Carton,24.0,0
acme,ACM-SAFE0863,Nos,1.0,1
acme,ACM-SAFE0863,Carton,12.0,0
acme,ACM-SAFE0386,Nos,1.0,1
acme,ACM-SAFE0386,Carton,6.0,0
acme,ACM-PVCP1060,Length,1.0,1
acme,ACM-NITR0934,Box,1.0,1
acme,ACM-MASK1004,Roll,1.0,1
acme,ACM-MASK1004,Carton,24.0,0
acme,ACM-HEXB0675,Pcs,1.0,1
acme,ACM-HEXB0675,Carton,6.0,0
acme,ACM-CABL0095,Packet,1.0,1
acme,ACM-CABL0095,Carton,10.0,0
acme,ACM-SAFE0188,Nos,1.0,1
acme,ACM-SAFE0188,Carton,50.0,0
acme,ACM-PVCP0820,Length,1.0,1
acme,ACM-NITR0677,Box,1.0,1
acme,ACM-MASK0855,Roll,1.0,1
acme,ACM-MASK0855,Carton,50.0,0
acme,ACM-CABL0055,Packet,1.0,1
acme,ACM-CABL0055,Carton,100.0,0
acme,ACM-WALL0976,Packet,1.0,1
acme,ACM-WALL0976,Carton,10.0,0
acme,ACM-HOSE0665,Pcs,1.0,1
acme,ACM-HOSE0665,Carton,10.0,0
acme,ACM-PVCP0486,Length,1.0,1
acme,ACM-CABL0438,Packet,1.0,1
acme,ACM-CABL0438,Carton,100.0,0
acme,ACM-GIWI0348,Kg,1.0,1
acme,ACM-HEXB0313,Pcs,1.0,1
acme,ACM-HEXB0313,Carton,12.0,0
acme,ACM-HEXB0957,Pcs,1.0,1
acme,ACM-HEXB0957,Carton,12.0,0
acme,ACM-SAFE0410,Nos,1.0,1
acme,ACM-SAFE0410,Carton,6.0,0
acme,ACM-PVCP1055B,Length,1.0,1
acme,ACM-PVCP1055B,Carton,144.0,0
acme,ACM-SELF0548,Packet,1.0,1
acme,ACM-SELF0548,Carton,6.0,0
acme,ACM-HEXB1044,Pcs,1.0,1
acme,ACM-HEXB1044,Carton,100.0,0
acme,ACM-CABL0074,Packet,1.0,1
acme,ACM-CABL0074,Carton,12.0,0
acme,ACM-MASK0323,Roll,1.0,1
acme,ACM-MASK0323,Carton,100.0,0
acme,ACM-HEXB0902,Pcs,1.0,1
acme,ACM-HEXB0902,Carton,12.0,0
acme,ACM-NITR0993,Box,1.0,1
acme,ACM-PVCP0647,Length,1.0,1
acme,ACM-MASK0761,Roll,1.0,1
acme,ACM-MASK0761,Carton,24.0,0
acme,ACM-CABL0209,Packet,1.0,1
acme,ACM-CABL0209,Carton,10.0,0
acme,ACM-WALL0442,Packet,1.0,1
acme,ACM-WALL0442,Carton,24.0,0
acme,ACM-MASK0459,Roll,1.0,1
acme,ACM-MASK0459,Carton,12.0,0
acme,ACM-MASK0221,Roll,1.0,1
acme,ACM-MASK0221,Carton,10.0,0
acme,ACM-SAFE0489,Nos,1.0,1
acme,ACM-SAFE0489,Carton,100.0,0
acme,ACM-HOSE0908,Pcs,1.0,1
acme,ACM-HOSE0908,Carton,24.0,0
acme,ACM-HEXB0435,Pcs,1.0,1
acme,ACM-HEXB0435,Carton,24.0,0
acme,ACM-CABL0852,Packet,1.0,1
acme,ACM-CABL0852,Carton,100.0,0
acme,ACM-PVCP0432,Length,1.0,1
