tenant,customer_id,customer_sku,item_code,customer_description,valid_from,valid_to,source,confidence
nordic,CUST-005,005984450,NRD-BEEF0209,Beef Patty 200G,2026-01-01,,confirmed_order,0.55
nordic,CUST-008,008101370,NRD-MOZZ0170,golden mozzarella 2kg,2026-01-01,,inferred_match,1.0
acme,CUST-002,002382654,ACM-PVCP0260,bosco pvc pipe 50mm class c,2026-01-01,,confirmed_order,0.55
nordic,CUST-002,002893965,NRD-PUFF0314,puff pastry block 2kg,2026-01-01,,confirmed_order,0.72
nordic,CUST-004,004645092,NRD-CHIC0073,nordvik chicken breast strips 2kg,2026-01-01,,confirmed_order,1.0
acme,CUST-006,006438422,ACM-PVCP0306-OLD,Bosco PVC Class C,2026-01-01,,manual_import,1.0
acme,CUST-001,001225526,ACM-PVCP1060,pvc 32mm class,2026-01-01,,confirmed_order,1.0
acme,CUST-002,002574267,ACM-SAFE0483,Bosco Safety Helmet Ratchet,2026-01-01,,confirmed_order,0.72
nordic,CUST-005,005535501,NRD-PUFF0125,PANTRY PUFF PASTRY,2026-01-01,,inferred_match,0.55
nordic,CUST-003,003123376,NRD-BEEF0006,PATTY 100G,2026-01-01,,confirmed_order,0.55
acme,CUST-001,001969543,ACM-CABL0689,Tolsen Cable Tie 370Mm White,2026-01-01,,confirmed_order,0.55
nordic,CUST-002,002151357,NRD-PUFF0353,SISU PUFF PASTRY SHEET 2KG,2026-01-01,,confirmed_order,0.55
acme,CUST-006,006038231,ACM-SAFE0988,safety helmet blue,2026-01-01,,confirmed_order,1.0
nordic,CUST-006,006168977,NRD-CHIC0204,sisu breast whole,2026-01-01,,confirmed_order,0.72
acme,CUST-002,002064197,ACM-ANGL1022,"vermont grinder disc 7"" cutting",2026-01-01,,inferred_match,0.72
acme,CUST-003,003564899,ACM-SAFE0393,HITEX SAFETY HELMET,2026-01-01,,inferred_match,0.55
acme,CUST-003,003960742,ACM-SELF0669,BOSCO SELF DRILLING #8 PLATED,2026-01-01,,inferred_match,0.72
acme,CUST-006,006274793,ACM-SAFE0543,SAFETY HELMET YELLOW STANDARD,2026-01-01,,confirmed_order,1.0
acme,CUST-008,008972470,ACM-SELF0105,Drilling Screw X Stainless 410,2026-01-01,,confirmed_order,1.0
acme,CUST-003,003396675,ACM-WALL0651,bosco wall plug 8mm,2026-01-01,,confirmed_order,1.0
acme,CUST-005,005875993,ACM-ANGL0414,"vermont angle grinder 4""",2026-01-01,,confirmed_order,1.0
acme,CUST-003,003427324,ACM-ANGL0397,ANGLE GRINDER DISC FLAP,2026-01-01,,manual_import,0.55
nordic,CUST-006,006762665,NRD-CHIC0490,Chicken,2026-01-01,,confirmed_order,1.0
nordic,CUST-001,001254696,NRD-VANI0427,Vanilla Ice Cream Tub 4L,2026-01-01,,manual_import,1.0
nordic,CUST-005,005462310,NRD-CHIC0049,HALBERG BREAST WHOLE 2KG,2026-01-01,,confirmed_order,1.0
acme,CUST-008,008839535,ACM-SELF0204,"bosco drilling #12 x 2"" stainless 410",2026-01-01,,manual_import,1.0
acme,CUST-004,004784961,ACM-BALL0123,"Kanto Ball Valve 1""",2026-01-01,,confirmed_order,0.55
nordic,CUST-008,008967318,NRD-MOZZ0356,Golden Pantry Mozzarella 1Kg,2026-01-01,,inferred_match,1.0
acme,CUST-008,008870051,ACM-SAFE0829,HELMET STANDARD,2026-01-01,,confirmed_order,0.55
acme,CUST-006,006631500,ACM-WALL0508,Vermont Wall Plug 8Mm Brown,2026-01-01,,confirmed_order,1.0
acme,CUST-003,003704427,ACM-SELF0105-OLD,"Stallion Drilling Screw #10 x 1-1/2"" Stainless 410",2026-01-01,,manual_import,1.0
nordic,CUST-001,001174007,NRD-CHIC0324-OLD,Fjordal Breast 2kg,2026-01-01,,manual_import,1.0
acme,CUST-004,004060580,ACM-SELF0416,"bosco drilling screw 1"" stainless",2026-01-01,,inferred_match,1.0
nordic,CUST-003,003281226,NRD-CHIC0486,FJORDAL STRIPS 1KG,2026-01-01,,confirmed_order,1.0
nordic,CUST-001,001703023,NRD-PRAW0160,Prawn 31/40 1Kg,2026-01-01,,confirmed_order,1.0
acme,CUST-002,002208887,ACM-HOSE0373,hose clip 25-38mm ss304,2026-01-01,,manual_import,0.55
acme,CUST-001,001633956,ACM-HEXB1059,Hex Bolt M8X50 Hdg,2026-01-01,,inferred_match,0.72
acme,CUST-004,004920247,ACM-SELF0326,KANTO SELF DRILLING SCREW X PLATED,2026-01-01,,confirmed_order,0.55
acme,CUST-002,002184773,ACM-HEXB0374,stallion bolt m8x50 stainless 316,2026-01-01,,confirmed_order,0.55
nordic,CUST-005,005972265,NRD-PRAW0384,Pantry Prawn 16/20 1Kg,2026-01-01,,confirmed_order,1.0
acme,CUST-005,005736367,ACM-ANGL1011,"ANGLE GRINDER 4"" FLAP",2026-01-01,,confirmed_order,0.55
nordic,CUST-001,001013283,NRD-PUFF0296,nordvik block 5kg,2026-01-01,,inferred_match,1.0
nordic,CUST-008,008304266,NRD-MOZZ0018,golden pantry mozzarella shredded 2kg,2026-01-01,,confirmed_order,1.0
acme,CUST-007,007789973,ACM-GIWI0840,Tolsen Soft,2026-01-01,,confirmed_order,0.72
nordic,CUST-004,004288365,NRD-MOZZ0221,CAPE BAY 1KG,2026-01-01,,inferred_match,1.0
acme,CUST-003,003468247,ACM-ANGL0336,"Remax Angle Grinder Disc 5"" Grinding",2026-01-01,,confirmed_order,1.0
nordic,CUST-008,008299414,NRD-PRAW0051,Sisu Prawn 31/40 1Kg,2026-01-01,,inferred_match,0.55
acme,CUST-007,007146119,ACM-PVCP0275,pvc pipe 50mm c,2026-01-01,,confirmed_order,0.72
nordic,CUST-002,002359119,NRD-POTA0146,GOLDEN PANTRY FRIES WEDGE 2.5KG,2026-01-01,,manual_import,1.0
acme,CUST-006,006959982,ACM-WALL0429,tolsen wall plug 6mm,2026-01-01,,confirmed_order,0.55
acme,CUST-004,004763027,ACM-HEXB0350,bosco hex 304,2026-01-01,,manual_import,1.0
acme,CUST-008,008380055,ACM-HEXB0004,Hitex Hex M6X50 Hdg,2026-01-01,,confirmed_order,0.72
acme,CUST-008,008165927,ACM-ANGL0280,Angle,2026-01-01,,confirmed_order,1.0
nordic,CUST-006,006559060,NRD-SALM0276,golden pantry fillet d,2026-01-01,,inferred_match,0.72
nordic,CUST-006,006795397,NRD-POTA0231,halberg potato fries wedge 2.5kg,2026-01-01,,inferred_match,0.72
acme,CUST-007,007751101,ACM-HEXB0782,Bosco M8X30 316,2026-01-01,,manual_import,1.0
acme,CUST-005,005111427,ACM-ANGL0080,Angle Disc Grinding,2026-01-01,,inferred_match,1.0
acme,CUST-008,008295113,ACM-GIWI0495,Wire #20 Hard Drawn,2026-01-01,,inferred_match,0.72
nordic,CUST-007,007893300,NRD-CHIC0026,cape chicken diced 2kg,2026-01-01,,confirmed_order,1.0
acme,CUST-004,004652072,ACM-WALL0962,kanto wall plug 8mm brown,2026-01-01,,confirmed_order,1.0
nordic,CUST-002,002743815,NRD-MOZZ0110,Cape Bay Mozzarella 1Kg,2026-01-01,,confirmed_order,1.0
acme,CUST-001,001322915,ACM-SELF0718,TIE 370MM BLACK,2026-01-01,2026-03-31,manual_import,0.72
nordic,CUST-005,005023875,NRD-FULL0416,FJORDAL CREAM MILK FRESH 200ML,2026-01-01,,confirmed_order,1.0
acme,CUST-003,003777560,ACM-MASK0327,masking general,2026-01-01,,confirmed_order,0.72
acme,CUST-006,006887483,ACM-NITR0804,KANTO GLOVE M BLACK,2026-01-01,,manual_import,1.0
acme,CUST-005,005855402,ACM-NITR0589,NITRILE GLOVE BLACK,2026-01-01,,manual_import,0.72
acme,CUST-005,005746193,ACM-BALL0315,kanto ball valve brass,2026-01-01,,inferred_match,1.0
acme,CUST-005,005191570,ACM-PVCP0994-OLD,PVC Pipe 25mm Class D,2026-01-01,,manual_import,1.0
acme,CUST-007,007265809,ACM-HEXB0458,REMAX M10X50 HDG,2026-01-01,,confirmed_order,1.0
acme,CUST-008,008373901,ACM-SAFE0916,Kanto Safety Standard,2026-01-01,,confirmed_order,1.0
acme,CUST-001,001945759,ACM-HEXB0181,tolsen hex m8x50 stainless 316,2026-01-01,,manual_import,1.0
nordic,CUST-007,007113716,NRD-SALM0201,HALBERG FILLET 1KG,2026-01-01,,inferred_match,0.55
nordic,CUST-002,002529721,NRD-BEEF0265,pantry beef patty 150g 48s,2026-01-01,,inferred_match,0.55
acme,CUST-004,004370889,ACM-ANGL0328,"Hitex Disc 5""",2026-01-01,,confirmed_order,1.0
nordic,CUST-003,003433473,NRD-PRAW0384,GOLDEN PANTRY PRAWN 16/20 1KG,2026-01-01,,inferred_match,1.0
acme,CUST-003,003911925,ACM-SELF0681,"STALLION DRILLING SCREW #10 X 1"" ZINC PLATED",2026-01-01,,confirmed_order,0.55
acme,CUST-003,003791659,ACM-SELF0204,"bosco self screw #12 x 2"" stainless",2026-01-01,,inferred_match,1.0
acme,CUST-007,007676272,ACM-SAFE0863,Kanto Helmet Blue Ratchet,2026-01-01,,confirmed_order,1.0
acme,CUST-004,004907008,ACM-ANGL0007,"hitex angle 5""",2026-01-01,,confirmed_order,0.55
nordic,CUST-001,001826738,NRD-MOZZ0189,mozzarella block 1kg,2026-01-01,,confirmed_order,0.72
acme,CUST-007,007078304,ACM-SELF0813,"SELF #12 X 2"" ZINC",2026-01-01,,inferred_match,1.0
nordic,CUST-008,008627082,NRD-PRAW0141,16/20 1Kg,2026-01-01,,inferred_match,1.0
acme,CUST-008,008249483,ACM-MASK0286,masking tape temp,2026-01-01,,inferred_match,0.55
acme,CUST-005,005583843,ACM-BALL0802,"VERMONT BALL 3/4"" BRASS",2026-01-01,,confirmed_order,1.0
nordic,CUST-003,003901106,NRD-SALM0298,golden pantry salmon fillet 3kg,2026-01-01,,confirmed_order,0.55
nordic,CUST-007,007750291,NRD-MOZZ0170,Golden Mozzarella 2Kg,2026-01-01,,confirmed_order,1.0
nordic,CUST-005,005061925,NRD-SALM0201,HALBERG SALMON FILLET 1KG,2026-01-01,,confirmed_order,1.0
acme,CUST-005,005064189,ACM-BALL0952,"BALL 1-1/4"" SS304",2026-01-01,,inferred_match,0.55
nordic,CUST-008,008350000,NRD-BEEF0284,GOLDEN PANTRY BEEF 150G 24S,2026-01-01,,manual_import,0.55
acme,CUST-003,003248399,ACM-NITR0497,nitrile,2026-01-01,,inferred_match,0.55
nordic,CUST-002,002993173,NRD-BEEF0006,HALBERG 100G,2026-01-01,,confirmed_order,1.0
acme,CUST-001,001959043,ACM-HOSE0044,kanto clip zinc,2026-01-01,,confirmed_order,0.55
acme,CUST-003,003237920,ACM-ANGL0753,"angle disc 4"" flap",2026-01-01,,inferred_match,1.0
acme,CUST-007,007007999,ACM-BALL0146,"Vermont Valve 1""",2026-01-01,,manual_import,1.0
acme,CUST-007,007468583,ACM-NITR1012,NITRILE GLOVE,2026-01-01,,confirmed_order,0.72
acme,CUST-003,003350512,ACM-PVCP0301,pipe 50mm class e,2026-01-01,,confirmed_order,1.0
acme,CUST-008,NRD-SELF0204,ACM-HEXB0395,hex bolt m6x30 zinc,2026-01-01,,confirmed_order,1.0
nordic,CUST-008,008612188,NRD-VANI0327-OLD,Fjordal Vanilla Ice Tub 4L,2026-01-01,,manual_import,1.0
acme,CUST-005,005031847,ACM-HEXB0292,stallion hex m6x50 hdg,2026-01-01,,inferred_match,1.0
acme,CUST-007,007962922,ACM-ANGL0036,Hitex Grinder Disc Cutting,2026-01-01,,confirmed_order,0.55
acme,CUST-003,003787970,ACM-BALL0836,"BALL 1"" BRASS",2026-01-01,,confirmed_order,1.0
acme,CUST-002,002412609,ACM-HOSE0821,Vermont Clip 19-25Mm Ss304,2026-01-01,,confirmed_order,0.72
acme,CUST-006,006577874,ACM-HEXB0352,KANTO HEX M6X50 304,2026-01-01,,confirmed_order,0.55
nordic,CUST-001,001784863,NRD-CHIC0324-OLD,Fjordal Whole 2kg,2026-01-01,,manual_import,1.0
acme,CUST-003,003604093,ACM-CABL0545,remax cable tie 150mm natural,2026-01-01,,inferred_match,0.72
acme,CUST-005,005739246,ACM-NITR0903-OLD,Remax Nitrile Glove,2026-01-01,,manual_import,1.0
acme,CUST-008,008493274,ACM-HEXB0743-OLD,Vermont Hex Bolt Stainless 316,2026-01-01,,manual_import,1.0
nordic,CUST-004,004384380,NRD-CHIC0197,Nordvik Chicken Breast Strips,2026-01-01,,confirmed_order,0.55
acme,CUST-005,005464843,ACM-CABL1016,Tolsen Cable Tie 100Mm Natural,2026-01-01,,inferred_match,1.0
acme,CUST-002,002996660,ACM-HEXB0943-OLD,Remax Hex Bolt Stainless,2026-01-01,,manual_import,1.0
nordic,CUST-002,002595444,NRD-FULL0038,Sisu Full Milk Fresh 2L,2026-01-01,,inferred_match,0.72
nordic,CUST-007,007826406,NRD-CHIC0253-OLD,Nordvik Chicken Breast Diced,2026-01-01,,manual_import,1.0
acme,CUST-002,002049307,ACM-HEXB0743-OLD,Vermont Bolt M8x30 316,2026-01-01,,manual_import,1.0
acme,CUST-007,007385937,ACM-HOSE0106,Hitex Hose 19-25Mm,2026-01-01,,confirmed_order,1.0
acme,CUST-006,006419931,ACM-HEXB0936,tolsen bolt m8x75 stainless 304,2026-01-01,,confirmed_order,1.0
acme,CUST-003,003076032,ACM-CABL0340,bosco tie 450mm black,2026-01-01,,confirmed_order,1.0
acme,CUST-004,004075597,ACM-HEXB0088,tolsen hex bolt m10x50 304,2026-01-01,,confirmed_order,0.55
acme,CUST-001,001521072,ACM-BALL0682,"vermont ball valve 1-1/4""",2026-01-01,,confirmed_order,1.0
nordic,CUST-005,005070778,NRD-POTA0234,Fjordal Squid Ring 1Kg,2026-01-01,2026-03-31,manual_import,1.0
nordic,CUST-003,003527134,NRD-PUFF0068,Puff Pastry Block,2026-01-01,,confirmed_order,1.0
acme,CUST-008,008746042,ACM-BALL0763,"kanto valve 2"" pvc",2026-01-01,,inferred_match,1.0
acme,CUST-006,006096712,ACM-PVCP0466,Stallion Class,2026-01-01,,confirmed_order,1.0
acme,CUST-001,001046188,ACM-SAFE1038,Stallion Standard,2026-01-01,,inferred_match,1.0
nordic,CUST-005,005206758,NRD-POTA0105,CAPE BAY POTATO FRIES 7MM,2026-01-01,,manual_import,0.72
nordic,CUST-004,004033967,NRD-BEEF0354,fjordal beef patty,2026-01-01,,manual_import,0.72
nordic,CUST-003,003508914,NRD-CHIC0324-OLD,Fjordal Chicken Breast Whole 2kg,2026-01-01,,manual_import,1.0
nordic,CUST-002,002226612,NRD-SALM0331B,SISU FILLET TRIM D (BULK),2026-01-01,,inferred_match,1.0
acme,CUST-008,008400355,ACM-SAFE0847-OLD,Tolsen Safety Helmet Red Ratchet,2026-01-01,,manual_import,1.0
acme,CUST-003,003041673,ACM-SAFE0749,Stallion Helmet White Ratchet,2026-01-01,,confirmed_order,0.55
acme,CUST-003,003672659,ACM-SELF0737,KANTO SELF DRILLING SCREW #10 X ZINC PLATED,2026-01-01,,inferred_match,1.0
acme,CUST-003,003037243,ACM-SELF0945,"Hitex Self Screw #10 1-1/2"" Zinc Plated",2026-01-01,,confirmed_order,0.55
nordic,CUST-008,008709985,NRD-PUFF0314,PUFF BLOCK 2KG,2026-01-01,,confirmed_order,0.72
acme,CUST-002,002180272,ACM-PVCP0577,TOLSEN PVC PIPE 40MM CLASS E,2026-01-01,,confirmed_order,1.0
acme,CUST-002,002177911,ACM-ANGL1068,"BOSCO ANGLE GRINDER DISC 5"" FLAP",2026-01-01,,inferred_match,1.0
nordic,CUST-007,007279620,NRD-VANI0424,nordvik vanilla ice cream tub 1l,2026-01-01,,confirmed_order,1.0
acme,CUST-007,007294374,ACM-NITR0707,STALLION XL BLACK,2026-01-01,,inferred_match,0.72
acme,CUST-001,001935568,ACM-ANGL0051,"ANGLE GRINDER DISC 7"" FLAP",2026-01-01,,inferred_match,0.55
nordic,CUST-006,006201168,NRD-VANI0390,vanilla cream 4l,2026-01-01,,inferred_match,0.72
nordic,CUST-006,006795397,NRD-PRAW0385,halberg potato fries wedge 2.5kg,2026-01-01,2026-03-31,manual_import,0.72
nordic,CUST-002,002360093,NRD-BUTT0029,Pantry Unsalted 250G,2026-01-01,,confirmed_order,1.0
acme,CUST-002,002391580,ACM-WALL1006,STALLION PLUG,2026-01-01,,confirmed_order,1.0
nordic,CUST-002,002021765,NRD-POTA0192,sisu crinkle 1kg,2026-01-01,,confirmed_order,0.55
acme,CUST-008,008055251,ACM-PVCP0941,hitex pipe 15mm e,2026-01-01,,confirmed_order,0.72
nordic,CUST-001,001026091,NRD-PUFF0150,Pantry Puff Pastry Block 5Kg,2026-01-01,,confirmed_order,0.72
acme,CUST-001,001127833,ACM-SAFE0582,helmet white standard,2026-01-01,,confirmed_order,0.55
acme,CUST-007,007051623,ACM-BALL0865,Bosco Ball,2026-01-01,,confirmed_order,0.55
nordic,CUST-006,006119168,NRD-BUTT0399,CAPE SHEET,2026-01-01,,inferred_match,0.55
acme,CUST-007,007635526,ACM-PVCP0441,Tolsen Pipe Class D,2026-01-01,,manual_import,1.0
nordic,CUST-001,001795093,NRD-BUTT0001,nordvik butter unsalted 500g,2026-01-01,,inferred_match,0.55
acme,CUST-005,005395995,ACM-BALL0601,"REMAX BALL 2"" BRASS",2026-01-01,,inferred_match,1.0
acme,CUST-007,007169492,ACM-PVCP0799,Stallion Pvc Pipe Class,2026-01-01,,confirmed_order,1.0
nordic,CUST-008,008789350,NRD-SALM0117,halberg fillet 5kg,2026-01-01,,confirmed_order,1.0
acme,CUST-003,003218825,ACM-PVCP0347,kanto pvc pipe class,2026-01-01,,inferred_match,1.0
nordic,CUST-003,003825126,NRD-PRAW0455,GOLDEN PANTRY PRAWN PDTO,2026-01-01,,confirmed_order,0.55
acme,CUST-006,006958500,ACM-NITR0881,S,2026-01-01,,confirmed_order,0.72
acme,CUST-007,007811928,ACM-SAFE0847-OLD,Tolsen Helmet Red Ratchet,2026-01-01,,manual_import,1.0
acme,CUST-006,006827753,ACM-HOSE0645,remax hose 19-25mm ss304,2026-01-01,,confirmed_order,1.0
nordic,CUST-004,004450537,NRD-SQUI0023,BAY SQUID RING BREADED,2026-01-01,,inferred_match,0.55
acme,CUST-008,008993515,ACM-CABL0074,hitex cable tie natural,2026-01-01,,inferred_match,1.0
acme,CUST-005,005469122,ACM-NITR0406,KANTO NITRILE GLOVE XL BLACK,2026-01-01,,inferred_match,1.0
nordic,CUST-001,001252159,NRD-SALM0076,Fillet Trim,2026-01-01,,manual_import,1.0
acme,CUST-002,002499121,ACM-HEXB0194,Vermont Hex M8X30 Zinc Plated,2026-01-01,,inferred_match,0.72
acme,CUST-005,005354758,ACM-ANGL0544,grinder disc cutting,2026-01-01,,inferred_match,0.55
acme,CUST-008,008076426,ACM-NITR0341,STALLION GLOVE L BLACK,2026-01-01,,confirmed_order,0.72
