item_code,item_name,description,brand,item_group,stock_uom,uom_conversions,barcode,manufacturer_part_no,disabled,available_qty,list_price
NRD-VANI0460,Cape Bay Vanilla Ice Cream Tub 6s,"Vanilla Ice Cream Tub, pack: 6s. Brand Cape Bay. Sold per Nos.",Cape Bay,All Items > Frozen > Vanilla Ice Cream,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",,,0,40,3.72
NRD-BEEF0382,Nordvik Beef Patty 200g 48s,"Beef Patty 200g, pack: 48s. Brand Nordvik. Sold per Packet.",Nordvik,All Items > Frozen > Beef Patty,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,NOR497631,0,0,406.53
NRD-FULL0267,Golden Pantry Full Cream Milk UHT 1L,"Full Cream Milk UHT, pack: 1L. Brand Golden Pantry. Sold per Nos.",Golden Pantry,All Items > Frozen > Full Cream Milk,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",,GOL883010,0,12,313.52
NRD-VANI0363,Nordvik Vanilla Ice Cream Cone 6s,"Vanilla Ice Cream Cone, pack: 6s. Brand Nordvik. Sold per Nos.",Nordvik,All Items > Frozen > Vanilla Ice Cream,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",,,0,40,27.83
NRD-BEEF0118,Fjordal Beef Patty 200g 24s,"Beef Patty 200g, pack: 24s. Brand Fjordal. Sold per Packet.",Fjordal,All Items > Frozen > Beef Patty,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",962402993193,,0,3,112.01
NRD-PRAW0435,Golden Pantry Prawn 31/40 2kg,"Prawn 31/40, pack: 2kg. Brand Golden Pantry. Sold per Kg.",Golden Pantry,All Items > Frozen > Prawn,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,,0,12,119.17
NRD-BEEF0478,Nordvik Beef Patty 100g 12s,"Beef Patty 100g, pack: 12s. Brand Nordvik. Sold per Packet.",Nordvik,All Items > Frozen > Beef Patty,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",901009841092,NOR665971,0,40,243.95
NRD-MOZZ0065,Halberg Mozzarella Shredded 2kg,"Mozzarella Shredded, pack: 2kg. Brand Halberg. Sold per Kg.",Halberg,All Items > Frozen > Mozzarella,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",942629892622,,0,900,467.43
NRD-BUTT0312,Golden Pantry Butter Unsalted Sheet 500g,"Butter Unsalted Sheet, pack: 500g. Brand Golden Pantry. Sold per Packet.",Golden Pantry,All Items > Frozen > Butter Unsalted,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",,GOL469420,0,0,397.83
NRD-CHIC0134,Golden Pantry Chicken Breast Diced 1kg,"Chicken Breast Diced, pack: 1kg. Brand Golden Pantry. Sold per Kg.",Golden Pantry,All Items > Frozen > Chicken Breast,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,GOL032455,0,3,433.82
NRD-POTA0443,Nordvik Potato Fries Crinkle 2.5kg,"Potato Fries Crinkle, pack: 2.5kg. Brand Nordvik. Sold per Packet.",Nordvik,All Items > Frozen > Potato Fries,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,,0,12,285.24
NRD-SQUI0112,Nordvik Squid Ring Raw 1kg,"Squid Ring Raw, pack: 1kg. Brand Nordvik. Sold per Kg.",Nordvik,All Items > Frozen > Squid Ring,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,,0,0,122.8
NRD-VANI0263,Golden Pantry Vanilla Ice Cream Tub 6s,"Vanilla Ice Cream Tub, pack: 6s. Brand Golden Pantry. Sold per Nos.",Golden Pantry,All Items > Frozen > Vanilla Ice Cream,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,GOL953961,0,3,350.55
NRD-BEEF0335,Cape Bay Beef Patty 100g 48s,"Beef Patty 100g, pack: 48s. Brand Cape Bay. Sold per Packet.",Cape Bay,All Items > Frozen > Beef Patty,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",952337670864,CAP909099,0,12,118.75
NRD-FULL0287,Nordvik Full Cream Milk UHT 200ml,"Full Cream Milk UHT, pack: 200ml. Brand Nordvik. Sold per Nos.",Nordvik,All Items > Frozen > Full Cream Milk,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",,,0,0,242.33
NRD-POTA0438,Halberg Potato Fries 7mm 2.5kg,"Potato Fries 7mm, pack: 2.5kg. Brand Halberg. Sold per Packet.",Halberg,All Items > Frozen > Potato Fries,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,,0,0,251.76
NRD-SALM0389,Sisu Salmon Fillet Portion 3kg,"Salmon Fillet Portion, pack: 3kg. Brand Sisu. Sold per Kg.",Sisu,All Items > Frozen > Salmon Fillet,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",954746118373,,0,150,414.53
NRD-VANI0042,Nordvik Vanilla Ice Cream Cone 4L,"Vanilla Ice Cream Cone, pack: 4L. Brand Nordvik. Sold per Nos.",Nordvik,All Items > Frozen > Vanilla Ice Cream,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",909831589483,,0,3,349.71
NRD-PRAW0385,Halberg Prawn 21/25 2kg,"Prawn 21/25, pack: 2kg. Brand Halberg. Sold per Kg.",Halberg,All Items > Frozen > Prawn,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",997841221828,HAL301117,0,0,1.49
NRD-CHIC0406,Fjordal Chicken Breast Whole 5kg,"Chicken Breast Whole, pack: 5kg. Brand Fjordal. Sold per Kg.",Fjordal,All Items > Frozen > Chicken Breast,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",972604483612,,0,0,380.58
NRD-BUTT0179,Sisu Butter Unsalted Sheet 250g,"Butter Unsalted Sheet, pack: 250g. Brand Sisu. Sold per Packet.",Sisu,All Items > Frozen > Butter Unsalted,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,,0,12,128.97
NRD-PUFF0150,Golden Pantry Puff Pastry Block 5kg,"Puff Pastry Block, pack: 5kg. Brand Golden Pantry. Sold per Packet.",Golden Pantry,All Items > Frozen > Puff Pastry,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,GOL887509,0,0,335.58
NRD-POTA0465,Cape Bay Potato Fries Crinkle 2.5kg,"Potato Fries Crinkle, pack: 2.5kg. Brand Cape Bay. Sold per Packet.",Cape Bay,All Items > Frozen > Potato Fries,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",949315380209,,0,150,71.21
NRD-PRAW0226,Cape Bay Prawn PDTO 2kg,"Prawn PDTO, pack: 2kg. Brand Cape Bay. Sold per Kg.",Cape Bay,All Items > Frozen > Prawn,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",957733816341,,0,0,107.39
NRD-POTA0105,Cape Bay Potato Fries 7mm 2.5kg,"Potato Fries 7mm, pack: 2.5kg. Brand Cape Bay. Sold per Packet.",Cape Bay,All Items > Frozen > Potato Fries,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",998188232904,,0,900,424.94
NRD-PUFF0316,Fjordal Puff Pastry Sheet 1kg,"Puff Pastry Sheet, pack: 1kg. Brand Fjordal. Sold per Packet.",Fjordal,All Items > Frozen > Puff Pastry,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",,FJO573423,0,150,292.95
NRD-POTA0225,Fjordal Potato Fries 7mm 1kg,"Potato Fries 7mm, pack: 1kg. Brand Fjordal. Sold per Packet.",Fjordal,All Items > Frozen > Potato Fries,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",960806598226,,0,3,167.57
NRD-MOZZ0200,Sisu Mozzarella Block 2kg,"Mozzarella Block, pack: 2kg. Brand Sisu. Sold per Kg.",Sisu,All Items > Frozen > Mozzarella,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,,0,3,36.44
NRD-SQUI0080,Cape Bay Squid Ring Raw 2kg,"Squid Ring Raw, pack: 2kg. Brand Cape Bay. Sold per Kg.",Cape Bay,All Items > Frozen > Squid Ring,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,,0,0,35.54
NRD-MOZZ0458,Sisu Mozzarella Shredded 1kg,"Mozzarella Shredded, pack: 1kg. Brand Sisu. Sold per Kg.",Sisu,All Items > Frozen > Mozzarella,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",985558702332,SIS737536,0,900,16.63
NRD-CHIC0313,Fjordal Chicken Breast Strips 5kg,"Chicken Breast Strips, pack: 5kg. Brand Fjordal. Sold per Kg.",Fjordal,All Items > Frozen > Chicken Breast,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",996563401980,FJO322877,0,900,241.95
NRD-PRAW0481,Nordvik Prawn 31/40 2kg,"Prawn 31/40, pack: 2kg. Brand Nordvik. Sold per Kg.",Nordvik,All Items > Frozen > Prawn,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",953867529806,NOR546726,0,150,378.91
NRD-POTA0272,Sisu Potato Fries Crinkle 2.5kg,"Potato Fries Crinkle, pack: 2.5kg. Brand Sisu. Sold per Packet.",Sisu,All Items > Frozen > Potato Fries,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",,SIS852085,0,0,376.14
NRD-BUTT0001,Nordvik Butter Unsalted Block 500g,"Butter Unsalted Block, pack: 500g. Brand Nordvik. Sold per Packet.",Nordvik,All Items > Frozen > Butter Unsalted,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",,NOR682056,0,3,200.16
NRD-SALM0294,Halberg Salmon Fillet Side 3kg,"Salmon Fillet Side, pack: 3kg. Brand Halberg. Sold per Kg.",Halberg,All Items > Frozen > Salmon Fillet,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",957426552240,,0,3,472.94
NRD-POTA0231,Halberg Potato Fries Wedge 2.5kg,"Potato Fries Wedge, pack: 2.5kg. Brand Halberg. Sold per Packet.",Halberg,All Items > Frozen > Potato Fries,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",,HAL574473,0,0,193.12
NRD-CHIC0324,Fjordal Chicken Breast Whole 2kg,"Chicken Breast Whole, pack: 2kg. Brand Fjordal. Sold per Kg.",Fjordal,All Items > Frozen > Chicken Breast,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,,0,900,106.56
NRD-PRAW0260,Cape Bay Prawn 31/40 1kg,"Prawn 31/40, pack: 1kg. Brand Cape Bay. Sold per Kg.",Cape Bay,All Items > Frozen > Prawn,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,,0,900,159.62
NRD-PUFF0125,Golden Pantry Puff Pastry Sheet 1kg,"Puff Pastry Sheet, pack: 1kg. Brand Golden Pantry. Sold per Packet.",Golden Pantry,All Items > Frozen > Puff Pastry,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",932760886219,,0,0,83.98
NRD-SQUI0155,Sisu Squid Ring Breaded 1kg,"Squid Ring Breaded, pack: 1kg. Brand Sisu. Sold per Kg.",Sisu,All Items > Frozen > Squid Ring,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,,0,0,107.11
NRD-VANI0472,Golden Pantry Vanilla Ice Cream Cone 6s,"Vanilla Ice Cream Cone, pack: 6s. Brand Golden Pantry. Sold per Nos.",Golden Pantry,All Items > Frozen > Vanilla Ice Cream,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,,0,40,103.58
NRD-VANI0383,Sisu Vanilla Ice Cream Tub 4L,"Vanilla Ice Cream Tub, pack: 4L. Brand Sisu. Sold per Nos.",Sisu,All Items > Frozen > Vanilla Ice Cream,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,,0,0,165.96
NRD-SALM0130,Golden Pantry Salmon Fillet Portion 1kg,"Salmon Fillet Portion, pack: 1kg. Brand Golden Pantry. Sold per Kg.",Golden Pantry,All Items > Frozen > Salmon Fillet,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",907907383216,,0,900,39.3
NRD-BUTT0093-OLD,Golden Pantry Butter Unsalted Sheet 250g,"Butter Unsalted Sheet, pack: 250g. Brand Golden Pantry. Sold per Packet. (superseded)",Golden Pantry,All Items > Frozen > Butter Unsalted,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",,,1,0,99.97
NRD-BUTT0059,Sisu Butter Unsalted Block 5kg,"Butter Unsalted Block, pack: 5kg. Brand Sisu. Sold per Packet.",Sisu,All Items > Frozen > Butter Unsalted,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",929392919263,,0,40,117.44
NRD-SALM0159,Halberg Salmon Fillet Trim D 5kg,"Salmon Fillet Trim D, pack: 5kg. Brand Halberg. Sold per Kg.",Halberg,All Items > Frozen > Salmon Fillet,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",907515222423,,0,3,378.34
NRD-SQUI0021,Halberg Squid Ring Breaded 1kg,"Squid Ring Breaded, pack: 1kg. Brand Halberg. Sold per Kg.",Halberg,All Items > Frozen > Squid Ring,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",939719523467,,0,40,434.38
NRD-WHIP0361,Nordvik Whipping Cream 35% 1L,"Whipping Cream 35%, pack: 1L. Brand Nordvik. Sold per Nos.",Nordvik,All Items > Frozen > Whipping Cream,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",969219186110,,0,0,375.16
NRD-SQUI0023,Cape Bay Squid Ring Breaded 1kg,"Squid Ring Breaded, pack: 1kg. Brand Cape Bay. Sold per Kg.",Cape Bay,All Items > Frozen > Squid Ring,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",965224902300,,0,3,434.33
NRD-PUFF0166,Fjordal Puff Pastry Block 1kg,"Puff Pastry Block, pack: 1kg. Brand Fjordal. Sold per Packet.",Fjordal,All Items > Frozen > Puff Pastry,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",900569628489,FJO534068,0,12,186.76
NRD-BUTT0491,Halberg Butter Unsalted Sheet 250g,"Butter Unsalted Sheet, pack: 250g. Brand Halberg. Sold per Packet.",Halberg,All Items > Frozen > Butter Unsalted,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",949402419225,,0,3,89.11
NRD-CHIC0486,Fjordal Chicken Breast Strips 1kg,"Chicken Breast Strips, pack: 1kg. Brand Fjordal. Sold per Kg.",Fjordal,All Items > Frozen > Chicken Breast,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",965691250059,FJO661629,0,12,70.77
NRD-SALM0218,Fjordal Salmon Fillet Portion 1kg,"Salmon Fillet Portion, pack: 1kg. Brand Fjordal. Sold per Kg.",Fjordal,All Items > Frozen > Salmon Fillet,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",953595859050,,0,0,449.31
NRD-FULL0121,Halberg Full Cream Milk Fresh 200ml,"Full Cream Milk Fresh, pack: 200ml. Brand Halberg. Sold per Nos.",Halberg,All Items > Frozen > Full Cream Milk,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",,,0,900,208.27
NRD-BEEF0241,Halberg Beef Patty 100g 12s,"Beef Patty 100g, pack: 12s. Brand Halberg. Sold per Packet.",Halberg,All Items > Frozen > Beef Patty,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",,HAL038319,0,3,63.73
NRD-BEEF0373,Cape Bay Beef Patty 100g 24s,"Beef Patty 100g, pack: 24s. Brand Cape Bay. Sold per Packet.",Cape Bay,All Items > Frozen > Beef Patty,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",968206591189,CAP199580,0,40,151.67
NRD-SALM0142,Nordvik Salmon Fillet Portion 5kg,"Salmon Fillet Portion, pack: 5kg. Brand Nordvik. Sold per Kg.",Nordvik,All Items > Frozen > Salmon Fillet,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",937358861472,,0,12,16.69
NRD-PRAW0450,Cape Bay Prawn 31/40 2kg,"Prawn 31/40, pack: 2kg. Brand Cape Bay. Sold per Kg.",Cape Bay,All Items > Frozen > Prawn,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",929854994956,CAP581149,0,12,16.76
NRD-PUFF0199,Nordvik Puff Pastry Block 1kg,"Puff Pastry Block, pack: 1kg. Brand Nordvik. Sold per Packet.",Nordvik,All Items > Frozen > Puff Pastry,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",991207844386,,0,3,160.67
NRD-CHIC0359,Fjordal Chicken Breast Diced 5kg,"Chicken Breast Diced, pack: 5kg. Brand Fjordal. Sold per Kg.",Fjordal,All Items > Frozen > Chicken Breast,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",987969208115,FJO276737,0,12,156.25
NRD-FULL0104,Halberg Full Cream Milk Fresh 1L,"Full Cream Milk Fresh, pack: 1L. Brand Halberg. Sold per Nos.",Halberg,All Items > Frozen > Full Cream Milk,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",906848988479,HAL214325,0,3,422.3
NRD-FULL0264,Cape Bay Full Cream Milk Fresh 200ml,"Full Cream Milk Fresh, pack: 200ml. Brand Cape Bay. Sold per Nos.",Cape Bay,All Items > Frozen > Full Cream Milk,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",,,0,3,78.07
NRD-BUTT0320,Sisu Butter Unsalted Block 500g,"Butter Unsalted Block, pack: 500g. Brand Sisu. Sold per Packet.",Sisu,All Items > Frozen > Butter Unsalted,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",,,0,3,135.36
NRD-PUFF0078-OLD,Nordvik Puff Pastry Sheet 5kg,"Puff Pastry Sheet, pack: 5kg. Brand Nordvik. Sold per Packet. (superseded)",Nordvik,All Items > Frozen > Puff Pastry,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",995909787604,NOR747938,1,0,191.23
NRD-CHIC0034,Halberg Chicken Breast Diced 2kg,"Chicken Breast Diced, pack: 2kg. Brand Halberg. Sold per Kg.",Halberg,All Items > Frozen > Chicken Breast,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,,0,150,49.82
NRD-SALM0484,Golden Pantry Salmon Fillet Trim D 3kg,"Salmon Fillet Trim D, pack: 3kg. Brand Golden Pantry. Sold per Kg.",Golden Pantry,All Items > Frozen > Salmon Fillet,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",929503047758,,0,40,424.91
NRD-BEEF0259-OLD,Fjordal Beef Patty 200g 48s,"Beef Patty 200g, pack: 48s. Brand Fjordal. Sold per Packet. (superseded)",Fjordal,All Items > Frozen > Beef Patty,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",,,1,0,68.21
NRD-CHIC0172,Nordvik Chicken Breast Whole 2kg,"Chicken Breast Whole, pack: 2kg. Brand Nordvik. Sold per Kg.",Nordvik,All Items > Frozen > Chicken Breast,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,NOR336859,0,0,127.83
NRD-BUTT0321,Halberg Butter Unsalted Sheet 5kg,"Butter Unsalted Sheet, pack: 5kg. Brand Halberg. Sold per Packet.",Halberg,All Items > Frozen > Butter Unsalted,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",909712535822,,0,0,12.25
NRD-BUTT0015,Nordvik Butter Unsalted Block 250g,"Butter Unsalted Block, pack: 250g. Brand Nordvik. Sold per Packet.",Nordvik,All Items > Frozen > Butter Unsalted,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",945765563535,,0,900,342.23
